oof_fold,human_fold,epoch,checkpoint_id,checkpoint_path,exists,source
09,10,107,fold_09_epoch_107,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch106.pt,1,discovered
09,10,108,fold_09_epoch_108,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch107.pt,1,discovered
09,10,109,fold_09_epoch_109,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch108.pt,1,discovered
09,10,110,fold_09_epoch_110,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch109.pt,1,discovered
09,10,111,fold_09_epoch_111,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch110.pt,1,discovered
09,10,112,fold_09_epoch_112,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch111.pt,1,discovered
09,10,113,fold_09_epoch_113,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch112.pt,1,discovered
09,10,114,fold_09_epoch_114,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch113.pt,1,discovered
09,10,115,fold_09_epoch_115,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch114.pt,1,discovered
09,10,116,fold_09_epoch_116,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch115.pt,1,discovered
09,10,117,fold_09_epoch_117,C:\baidunetdiskdownload\stage1_oof_200epoch_fold_09_check\ssh\AI\runs\YOLOv11\stage1_oof_10fold\fold_09\full_yolo11l_cls_20260621-045150\weights\epoch116.pt,1,discovered
