epoch,checkpoint_file,checkpoint_path,checkpoint_exists,evaluated,accuracy,auroc,auprc
116,epoch115.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_116.pt,1,1,0.673611,0.934097,0.983994
117,epoch116.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_117.pt,1,1,0.673611,0.937611,0.985057
118,epoch117.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_118.pt,1,1,0.675,0.936431,0.984738
119,epoch118.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_119.pt,1,1,0.665278,0.93625,0.98458
120,epoch119.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_120.pt,1,1,0.672222,0.936028,0.984556
121,epoch120.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_121.pt,1,1,0.681944,0.939299,0.985496
122,epoch121.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_122.pt,1,1,0.681944,0.940542,0.985767
123,epoch122.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_123.pt,1,1,0.679167,0.941528,0.985946
124,epoch123.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_124.pt,1,1,0.676389,0.938986,0.985306
125,epoch124.pt,C:\Users\ASUS\Desktop\YOLOv11\YOLO-CV\YOLOv11\runs\stage1_formal_cls6\yolo11m_cls6_formal_200ep\weights\epoch_125.pt,1,1,0.681944,0.940194,0.985659
