epoch,epoch_gap_group,row_count,normal_count,defect_count,normal_q68,normal_q90,normal_mean,defect_q50,defect_q05,defect_mean,gap_q68_q050,tail_gap_q90_q05
148,middle,120000,60000,60000,0.0081602577,0.3032490611,0.0896059689,0.9992185831,0.3443797529,0.9279941990,0.9910583254,0.0411306918
149,middle,120000,60000,60000,0.0078409556,0.3007228673,0.0891985142,0.9992658496,0.3475618362,0.9281991975,0.9914248940,0.0468389689
150,middle,120000,60000,60000,0.0075306152,0.2975987196,0.0887801728,0.9993093014,0.3469100893,0.9284276571,0.9917786862,0.0493113697
151,middle,120000,60000,60000,0.0071925791,0.2918291986,0.0884320293,0.9993572831,0.3468949795,0.9287031631,0.9921647040,0.0550657809
152,middle,120000,60000,60000,0.0069047799,0.2893566787,0.0881142477,0.9993975163,0.3438085914,0.9289828754,0.9924927364,0.0544519127
153,middle,120000,60000,60000,0.0066188495,0.2875777781,0.0878567750,0.9994329810,0.3459548950,0.9293076913,0.9928141315,0.0583771169
154,middle,120000,60000,60000,0.0063438187,0.2857339680,0.0875519881,0.9994713664,0.3443105519,0.9296261895,0.9931275477,0.0585765839
155,middle,120000,60000,60000,0.0060337484,0.2821760178,0.0871653258,0.9995119572,0.3425281048,0.9298811246,0.9934782088,0.0603520870
156,middle,120000,60000,60000,0.0057419403,0.2799468935,0.0867850834,0.9995455146,0.3404351175,0.9300877875,0.9938035743,0.0604882240
157,middle,120000,60000,60000,0.0054306248,0.2776261270,0.0863351099,0.9995762706,0.3379896283,0.9302293242,0.9941456458,0.0603635013
158,middle,120000,60000,60000,0.0051147342,0.2736651003,0.0858136747,0.9996061921,0.3311236203,0.9303163289,0.9944914579,0.0574585200
159,middle,120000,60000,60000,0.0048138583,0.2718779147,0.0853077170,0.9996281862,0.3275094032,0.9304436965,0.9948143279,0.0556314885
160,middle,120000,60000,60000,0.0045302785,0.2676010132,0.0849227985,0.9996556044,0.3234457076,0.9306495847,0.9951253259,0.0558446944
161,good_gap_top20pct,120000,60000,60000,0.0043081008,0.2645361423,0.0847103259,0.9996868372,0.3265717328,0.9309946050,0.9953787364,0.0620355905
162,good_gap_top20pct,120000,60000,60000,0.0040838630,0.2600126565,0.0843232003,0.9997103810,0.3270978332,0.9311721645,0.9956265180,0.0670851767
163,good_gap_top20pct,120000,60000,60000,0.0038455203,0.2566079497,0.0839350210,0.9997324347,0.3266445398,0.9313600372,0.9958869144,0.0700365901
164,good_gap_top20pct,120000,60000,60000,0.0036817205,0.2519791126,0.0836378448,0.9997535348,0.3283535540,0.9315871497,0.9960718143,0.0763744414
165,good_gap_top20pct,120000,60000,60000,0.0034729657,0.2469757497,0.0832304193,0.9997723699,0.3304408193,0.9316514394,0.9962994042,0.0834650696
166,good_gap_top20pct,120000,60000,60000,0.0032383758,0.2438909113,0.0827976659,0.9997914433,0.3292575777,0.9317283778,0.9965530675,0.0853666664
167,good_gap_top20pct,120000,60000,60000,0.0030528740,0.2402979732,0.0825451625,0.9998101592,0.3305110931,0.9319466956,0.9967572852,0.0902131199
168,good_gap_top20pct,120000,60000,60000,0.0028854129,0.2379168123,0.0822959002,0.9998257756,0.3306477964,0.9321754281,0.9969403627,0.0927309841
169,good_gap_top20pct,120000,60000,60000,0.0026982734,0.2362191677,0.0819597607,0.9998413324,0.3255007565,0.9323291980,0.9971430590,0.0892815888
