triad_id,condition_slot,phase,budget,guard_ratio,control,scope,treatment_count,control_count,overlap_count,overlap_rate,jaccard,unique_to_treatment,unique_to_control,effective_unique_contrast
TRIAD_034,A12,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_034,A12,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_034,A12,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_034,A12,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_034,A12,A,3000,0.0,R2,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_034,A12,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_035,A12,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_035,A12,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_035,A12,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_035,A12,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_035,A12,A,3000,0.0,R2,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_035,A12,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_036,A12,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_036,A12,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_036,A12,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_036,A12,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_036,A12,A,3000,0.0,R2,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_036,A12,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_037,A13,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_037,A13,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_037,A13,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_037,A13,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_037,A13,A,3000,0.0,R2,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_037,A13,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_038,A13,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_038,A13,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_038,A13,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_038,A13,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_038,A13,A,3000,0.0,R2,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_038,A13,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_039,A13,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_039,A13,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_039,A13,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_039,A13,A,3000,0.0,R2,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_039,A13,A,3000,0.0,R2,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_039,A13,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_040,A14,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_040,A14,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_040,A14,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_040,A14,A,3000,0.0,R2,all,3000,3000,2751,0.917,0.8467220683287165,249,249,0.083
TRIAD_040,A14,A,3000,0.0,R2,normal,3000,3000,2751,0.917,0.8467220683287165,249,249,0.083
TRIAD_040,A14,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_041,A14,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_041,A14,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_041,A14,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_041,A14,A,3000,0.0,R2,all,3000,3000,2738,0.9126666666666666,0.8393623543838136,262,262,0.0873333333333333
TRIAD_041,A14,A,3000,0.0,R2,normal,3000,3000,2738,0.9126666666666666,0.8393623543838136,262,262,0.0873333333333333
TRIAD_041,A14,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_042,A14,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_042,A14,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_042,A14,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_042,A14,A,3000,0.0,R2,all,3000,3000,2747,0.9156666666666666,0.8444512757454657,253,253,0.0843333333333333
TRIAD_042,A14,A,3000,0.0,R2,normal,3000,3000,2747,0.9156666666666666,0.8444512757454657,253,253,0.0843333333333333
TRIAD_042,A14,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_043,A15,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_043,A15,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_043,A15,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_043,A15,A,3000,0.0,R2,all,3000,3000,2828,0.9426666666666668,0.8915510718789408,172,172,0.0573333333333333
TRIAD_043,A15,A,3000,0.0,R2,normal,3000,3000,2828,0.9426666666666668,0.8915510718789408,172,172,0.0573333333333333
TRIAD_043,A15,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_044,A15,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_044,A15,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_044,A15,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_044,A15,A,3000,0.0,R2,all,3000,3000,2828,0.9426666666666668,0.8915510718789408,172,172,0.0573333333333333
TRIAD_044,A15,A,3000,0.0,R2,normal,3000,3000,2828,0.9426666666666668,0.8915510718789408,172,172,0.0573333333333333
TRIAD_044,A15,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_045,A15,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_045,A15,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_045,A15,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_045,A15,A,3000,0.0,R2,all,3000,3000,2830,0.9433333333333334,0.8927444794952681,170,170,0.0566666666666666
TRIAD_045,A15,A,3000,0.0,R2,normal,3000,3000,2830,0.9433333333333334,0.8927444794952681,170,170,0.0566666666666666
TRIAD_045,A15,A,3000,0.0,R2,defect,0,0,0,,,0,0,
TRIAD_046,A16,A,3000,0.0,R1,all,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_046,A16,A,3000,0.0,R1,normal,3000,3000,0,0.0,0.0,3000,3000,1.0
TRIAD_046,A16,A,3000,0.0,R1,defect,0,0,0,,,0,0,
TRIAD_046,A16,A,3000,0.0,R2,all,3000,3000,2718,0.906,0.8281535648994516,282,282,0.094
TRIAD_046,A16,A,3000,0.0,R2,normal,3000,3000,2718,0.906,0.8281535648994516,282,282,0.094
TRIAD_046,A16,A,3000,0.0,R2,defect,0,0,0,,,0,0,
