run_slot,budget,completed_epochs,expected_steps_per_epoch_by_budget,recorded_steps_per_epoch,simple_expected_optimizer_steps,recorded_optimizer_steps_total,epochs_exact,steps_per_epoch_exact,optimizer_steps_exact,partial_step_reconciled,discarded_partial_optimizer_steps,resume_count,status
RUN_207,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_208,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_209,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_210,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_211,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_212,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_213,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_214,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_215,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_216,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_217,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_218,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_219,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_220,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_221,3000,200,961,961,192200,192200,True,True,True,False,0,1,PASS
RUN_222,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_223,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_224,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_225,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_226,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_227,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_228,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_229,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_230,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_231,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_232,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_233,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_234,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_235,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_236,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_237,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_238,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_239,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
RUN_240,3000,200,961,961,192200,192200,True,True,True,False,0,0,PASS
