paper_id,title,path,bytes,sha256,source_format,selection_role,reading_rank,reading_credit_granted
P0154,”Diversity and Uncertainty in Moderation” are the Key to Data Selection for Multilingual Few-shot Transfer,staging/broad_freeze_canonical_repaired_v4/sources/P0154.pdf,497440,C3ADE648F187A871B29829C43B87D7A711109C4EB2D5776EF6D2BB776F47D2E1,PDF,PRIMARY,79,False
P0322,Repeated Random Sampling for Minimizing the Time-to-Accuracy of Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0322.pdf,653014,926A30E30C2283C2F95C7CB6301651BE7D334C96197E94F255391D4BDC526FB1,PDF,PRIMARY,80,False
P0350,Distill on a Diet: Efficient Knowledge Distillation via Learnable Data Pruning,staging/broad_freeze_canonical_repaired_v4/sources/P0350.pdf,2229970,9C990060F4B9CDA4E70A9A0728162A7DFC6610DD178DF95A0FCA9853595C5648,PDF,PRIMARY,81,False
P0087,A Simple and Efficient Baseline for Data Attribution on Images,staging/broad_freeze_canonical_repaired_v4/sources/P0087.pdf,3395250,1FC59CF9831D8A8B1CA89B86C659BC6C810BEE9A737D355B4796FEFA2004D0F7,PDF,PRIMARY,82,False
P0130,Reducing annotation effort in agricultural data: simple and fast unsupervised coreset selection with DINOv2 and K-means,staging/broad_freeze_canonical_repaired_v4/sources/P0130.pdf,4224001,DE824E92A7D58F7841D65FD24F8EC0B1F571351570F538CA6035F60CCACD46D9,PDF,PRIMARY,83,False
P0106,Investigating Active-Learning-Based Training Data Selection for Speech Spoofing Countermeasure,staging/broad_freeze_canonical_repaired_v4/sources/P0106.pdf,544247,7B07775ED214C0A12359AA84C1F77EBA88100CFEF1CA49C93A10771A569A7EFC,PDF,PRIMARY,84,False
P0479,Cross-Platform Chinese Offensive Comment Detection via Dual-Threshold Hard Example Mining,staging/broad_freeze_canonical_repaired_v4/sources/P0479.pdf,1499290,FE9760A4EA79D72DBF11C2427405E453B042F6AB5B8E7E116EDCF100C65281DC,PDF,PRIMARY,85,False
P0285,Curriculum Learning for Speech Emotion Recognition From Crowdsourced Labels,staging/broad_freeze_canonical_repaired_v4/sources/P0285.pdf,7211010,FCA02C46EE71B9C22A43331652B10D66606CE3E99F9B65BE26B89EFF09B66BE4,PDF,PRIMARY,86,False
P0151,Interpreting single-cell and spatial omics data using deep neural network training dynamics,staging/broad_freeze_canonical_repaired_v4/sources/P0151.pdf,3963620,B8FCF866329EE43EF1DC7E14834F79EBD8A3F63D18FFB1A08A759EA617A19874,PDF,PRIMARY,87,False
P0392,Unsupervised Fine-Tuning Data Selection for ASR Using Self-Supervised Speech Models,staging/broad_freeze_canonical_repaired_v4/sources/P0392.pdf,390899,DF366FADF2AF9E6D0462C6F2B83BBE6F9257219F8A453107FF2728DA78851B3C,PDF,PRIMARY,88,False
P0099,DynClean: Training Dynamics-based Label Cleaning for Distantly-Supervised Named Entity Recognition,staging/broad_freeze_canonical_repaired_v4/sources/P0099.pdf,1246563,0C157EDDA2144C960BA84976973657B7BB30B8A11460D582FCF6913F7C7DD62F,PDF,PRIMARY,89,False
P0032,Identifying Noise in Human-Created Datasets using Training Dynamics from Generative Models,staging/broad_freeze_canonical_repaired_v4/sources/P0032.pdf,3157440,5A931405402EEFFAFC7B6E6D5D1C9C446732ABDA7A124CA0DDDBFE5DEDF3237C,PDF,PRIMARY,90,False
P0205,Learning What Matters: Prioritized Concept Learning via Relative Error-driven Sample Selection,staging/broad_freeze_canonical_repaired_v4/sources/P0205.pdf,5553270,ECA725659A77A3F0DF0EAC951A67529CC6264F786AB1571AFD6C03FF4320B2D0,PDF,PRIMARY,91,False
