"run_dir","removed_file","removed_size_bytes"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch166.pt","41664255"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch167.pt","41664319"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch168.pt","41664383"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch169.pt","41664447"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch17.pt","41655615"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch170.pt","41664511"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch171.pt","41664575"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch172.pt","41664639"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch173.pt","41664703"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch174.pt","41664703"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch175.pt","41664767"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch176.pt","41664831"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch177.pt","41664895"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch178.pt","41664959"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch179.pt","41665023"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch18.pt","41655679"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch180.pt","41665087"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch181.pt","41665151"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch182.pt","41665215"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch183.pt","41665279"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch184.pt","41665279"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch185.pt","41665343"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch186.pt","41665407"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch187.pt","41665471"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch188.pt","41665535"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch189.pt","41665599"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch19.pt","41655743"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch190.pt","41665663"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch191.pt","41665727"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch192.pt","41665791"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch193.pt","41665855"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch194.pt","41665919"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch195.pt","41665919"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch196.pt","41665983"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch197.pt","41666047"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch198.pt","41666111"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch199.pt","41666175"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch2.pt","41654911"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch20.pt","41655807"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch21.pt","41655871"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch22.pt","41655935"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch23.pt","41655999"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch24.pt","41655999"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch25.pt","41656063"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch26.pt","41656127"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch27.pt","41656191"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch28.pt","41656255"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch29.pt","41656319"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch3.pt","41654975"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch30.pt","41656383"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch31.pt","41656447"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch32.pt","41656511"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch33.pt","41656575"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch34.pt","41656639"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch35.pt","41656639"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch36.pt","41656703"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch37.pt","41656767"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch38.pt","41656831"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch39.pt","41656895"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch4.pt","41654847"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch40.pt","41656959"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch41.pt","41657023"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch42.pt","41657087"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch43.pt","41657151"
"H:\stage1_info_sampling_lite_pt_files\YOLOv11\runs\stage1_formal_gate_info_sampling_lite\yolo11m_gate2_formal_weighted_hn14_risk_consistency_200ep","epoch44.pt","41657215"
